	c432		c499		c880		c1355		c1908		c2670		c3540		c5315		c7552	
	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min
1	4	3	4	4	4	3	0.52	0.49	3	3			4	4	4	3	4	2
11	36	29	69	27	26	22	1.71	1.02	22	18			30	23	29	22	27	21
21	60	35	83	44	49	33	4.06	1.78	38	24			44	36	45	33	53	33
31	77	55	94	66	52	43	5.69	2.97	44	33			67	46	54	48	68	41
41	90	64	100	79	80	42	10.29	3.07	51	36			72	56	83	46	80	51
51	135	64	109	87	72	46	22.21	5.78	74	47			76	58	84	59	97	62
61	101	75	128	106	83	50	23.92	8.18	73	56			106	69	97	81	109	90
71	102	84	130	107	85	72	32.1	11.5	70	48			98	69	108	84	173	93
81	107	81	189	102	97	62	54.57	19.88	97	56			102	81	134	86	121	106
91	115	93	181	129	83	69	69.81	36.16	98	65			119	74	123	98	186	108
101	199	122	168	126	100	64	120.44	39.35	121	71			109	86	133	106	165	103
111	?	?	?	?	107	77	115.21	37.21	100	65			119	82	134	97	197	117
121	?	?	?	?	121	88	118.07	78.91	107	73			114	99	164	117	161	137
131	?	?	?	?	111	85	154.22	96.13	103	70			129	98	128	111	251	135
141	?	?	?	?	116	97	172.98	109.15	114	72			128	97	134	118	238	147
151	?	?	?	?	112	93	383.67	98.84	178	82			131	107	146	120	229	144
161	?	?	?	?	113	87	352.95	155.46	148	99			132	123	164	109	236	163
171	?	?	?	?	121	98	622.83	173.25	238	107			143	115	150	125	249	168
181	?	?	?	?	119	91	485.26	238.56	177	90			132	123	174	116	272	177
191	?	?	?	?	140	93	848.2	234.19	185	99			143	124	172	124	260	181
201	?	?	?	?	128	114	1161.67	264.8	166	113			139	130	161	134	268	225
