#iterationNumber	#varNumber	#clauseNumber	#itertionTime
1	13579	35145	0.2102
2	27049	70541	0.2069
3	40519	105937	0.2537
4	53989	141333	0.3045
5	67459	176729	0.3571
6	80929	212125	0.4274
7	94399	247521	0.462
8	107869	282909	0.5203
9	121339	318289	0.5444
10	134809	353669	0.6209
11	148279	389049	0.7018
12	161749	424429	0.8074
13	175219	459809	0.7675
14	188689	495189	0.8273
15	202159	530569	0.9132
16	215629	565949	0.9561
17	229099	601321	1.017
18	242569	636693	1.0649
19	256039	672065	1.1378
20	269509	707437	1.2015
21	282979	742809	1.1924
22	296449	778181	1.3012
23	309919	813553	1.3681
24	323389	848925	1.371
25	336859	884297	1.3661
26	350329	919669	1.414
27	363799	955041	1.4493
28	377269	990413	1.5656
29	390739	1025785	1.5937
30	404209	1061157	1.6736
31	417679	1096529	1.7412
32	431149	1131901	1.7444
33	444619	1167273	1.8375
34	458089	1202645	1.8892
35	471559	1238017	1.9412
36	485029	1273389	1.9527
37	498499	1308761	2.0391
38	511969	1344133	2.1055
39	525439	1379505	2.1754
40	538909	1414877	2.2217
41	552379	1450249	2.3569
42	565849	1485621	2.3319
43	579319	1520993	2.3712
44	592789	1556365	2.4918
45	606259	1591737	2.4373
46	619729	1627109	2.4646
47	633199	1662481	2.5431
48	646669	1697853	2.6541
49	660139	1733225	2.751
50	673609	1768597	2.8248
51	687079	1803969	2.7833
52	700549	1839341	2.8601
53	714019	1874713	2.8883
54	727489	1910085	2.99
55	740959	1945457	3.0933
56	754429	1980829	3.0431
57	767899	2016201	3.3024
58	781369	2051573	3.4137
59	794839	2086945	3.3088
60	808309	2122317	3.3161
61	821779	2157689	3.4847
62	835249	2193061	3.4873
63	848719	2228433	3.6469
#The last iteration is UNSAT.
#The total time used (including file parse time) is
#117.6343 s
