1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
0.2	0.3	0.5	0	0.2	0	0.1	0	0	1	0	1	0	0	1	1	0	1
3.2	3.3	2.9	2.2	1.5	1.9	2.2	2.5	2.2	4	0	3	1	2	1	2	3	2
6.4	5.9	5.7	4.1	2.8	3.9	3.2	3.5	3.6	7	0	3	1	3	2	3	4	3
7.6	8.7	7.6	4.6	3.4	4.7	5	5.2	4.7	7	0	3	2	4	2	3	4	3
10	8.5	8.9	6.2	4.2	6.3	6.1	6	5.5	14	0	5	3	4	4	2	4	2
12.4	14.9	10.6	9.8	4.6	7.8	6.9	7.4	6.3	9	0	6	2	5	3	4	4	4
15.5	17.9	12.3	10.5	5.3	9	8	9	7.9	18	0	8	2	5	4	3	3	5
17.4	20.1	15	9.7	5.9	9.4	8.5	9.9	9	13	5	7	2	7	7	4	7	3
23.2	21.4	14	10	6.2	10.6	9.3	10.6	10	27	3	9	2	6	7	4	6	8
20.8	24.6	16.2	12	6.8	12.9	10	12	11.7	24	11	7	3	6	8	3	6	6
21.1	26	17	15.1	6.8	13.8	10.1	10.9	12.2	24	27	11	3	7	9	5	6	4
26.1	25.3	18.2	16.7	8	15	10.9	13	12.4	4	14	12	3	6	10	5	7	6
23.3	29.3	19.3	16.3	8.6	15.1	12.3	13.9	14.4	23	29	13	2	5	10	6	9	6
29.8	33.5	18.9	20	8.9	17.5	11.7	15.2	14.1	39	33	14	4	6	8	5	8	8
28.4	29.3	19.7	19.9	9.9	16.9	13.3	16.5	13.9	32	21	19	7	8	7	7	8	5
?	32.2	22	18.7	9.9	17.2	13.6	16.7	16.5	?	25	14	11	8	10	7	8	7
?	30.2	23.6	26	11.2	20.1	14.2	18.1	17.9	?	42	17	12	10	11	9	11	7
?	39.3	21.3	22.8	12	20.9	14.9	17.8	16.7	?	42	24	14	12	13	9	9	9
?	40.6	24.4	31.7	12.7	19.6	16.3	17.2	20.7	?	40	19	19	11	13	10	10	9
?	41.3	25.4	25.6	12.7	24.2	16	20	18.4	?	25	19	20	14	11	12	12	7
?	43.7	23.5	26.1	12.7	25.3	16.5	17.8	20.8	?	30	23	21	14	12	10	15	7
?	?	25.4	28.8	12.7	25.2	15.7	21.1	19.8	?	?	22	26	13	13	9	13	8
?	?	27.9	29.7	14.1	31.2	18	21	22	?	?	28	28	13	17	10	12	8
?	?	23.6	30.2	15.6	29.2	17.8	21.5	22.3	?	?	28	29	14	16	11	17	8
?	?	25.5	32.8	16.3	32.3	19.6	20.4	24.1	?	?	27	30	12	18	13	10	9
?	?	?	34.8	18.8	30	18.6	22.2	24.7	?	?	?	34	12	20	11	17	9
?	?	?	28.7	14.3	37.6	18.3	23.7	26.1	?	?	?	37	14	15	13	14	11
?	?	?	31.9	18.3	36.5	19.6	23.6	25.5	?	?	?	35	14	18	14	17	8
?	?	?	38.1	17.5	37.7	21.4	23.1	23.7	?	?	?	35	13	19	13	18	9
?	?	?	34.5	18.5	41.8	20.1	23.1	26.4	?	?	?	39	14	18	11	12	9
?	?	?	36.7	19.2	36	20.7	23.3	30.1	?	?	?	41	15	23	13	16	10
?	?	?	38.9	18.8	41.3	22	27.6	27.4	?	?	?	35	13	25	13	11	14
?	?	?	40.1	20.7	103.5	21	25.3	33	?	?	?	42	14	20	12	14	10
?	?	?	45	20.9	60	22.2	27.4	30.2	?	?	?	41	16	23	13	19	11
?	?	?	40.2	21.5	57.5	23.3	28.1	31.6	?	?	?	39	14	20	16	15	8
?	?	?	39.7	21.3	83.5	24.9	26.7	33.1	?	?	?	40	18	24	14	17	11
?	?	?	48.6	22.3	86.4	23.5	26.4	36.7	?	?	?	43	16	26	14	14	12
?	?	?	48.7	25.3	357.9	25.4	27.7	32.6	?	?	?	36	16	24	15	18	12
?	?	?	45	23	354.1	23.7	28.4	33.3	?	?	?	36	17	26	17	15	12
?	?	?	48.4	25.1	131.4	23.9	28.1	34.7	?	?	?	41	16	28	15	21	15
?	?	?	54.8	29.7	260.4	24.3	25.8	34.4	?	?	?	40	17	29	16	19	12
